"achievements.xboxlive.com","achievements_service","AchievementsService"
"GET https://achievements.xboxlive.com/users/xuid({xuid})/achievements/?continuationToken={token}","achievements_result::get_next","AchievementsService::GetNext"
"GET https://achievements.xboxlive.com/users/xuid({xuid})/achievements","achievement_service::get_achievements_for_title_id","AchievementsService::GetAchievementsForTitleId"
"GET https://achievements.xboxlive.com/users/xuid({xuid})/achievements/{scid}/{achievementId}","achievement_service::get_achievement","AchievementsService::GetAchievement"
"POST https://achievements.xboxlive.com/users/xuid({xuid})/achievements/{scid}/update","achievement_service::update_achievement","AchievementsService::UpdateAchievementAsync"
"clubhub.xboxlive.com","clubs_service","ClubsService"
"clubaccounts.xboxlive.com","clubs_service","ClubsService"
"clubsearch.xboxlive.com/suggest","clubs_service","ClubsService"
"GET https://clubhub.xboxlive.com/clubs/Ids({clubId})/decoration/settings","clubs_service::get_club","ClubsService::GetClubAsync"
"POST https://clubhub.xboxlive.com/clubs/Batch","clubs_service::get_clubs","ClubsService::GetClubsAsync"
"GET https://clubaccounts.xboxlive.com/users/{userId}/clubsowned","clubs_service::get_clubs_owned","ClubsService::GetClubsOwnedAsync"
"POST https://clubaccounts.xboxlive.com/clubs/create","clubs_service::create_club","ClubsService::CreateClubAsync"
"DELETE https://clubaccounts.xboxlive.com/clubs/{clubId}","clubs_service::delete_club","ClubsService::DeleteClubAsync"
"GET https://clubhub.xboxlive.com/clubs/Xuid{xuid}","clubs_service::get_club_associations","ClubsService::GetClubAssociationsAsync"
"POST https://clubhub.xboxlive.com/clubs/recommendations","clubs_service::get_club_recommendations","ClubsService::GetClubRecommendationsAsync"
"GET https://clubhub.xboxlive.com/clubs/search","clubs_service::search_clubs","ClubsService::SearchClubsAsync"
"GET https://clubsearch.xboxlive.com/suggest","clubs_service::suggest_clubs","ClubsService::SuggestClubsAsync"
"contextualsearch.xboxlive.com","contextual_search_service","ContextualSearchService"
"GET https://contextualsearch.xboxlive.com/titles/{titleid}/configuration","contextual_search_service::get_configuration","ContextualSearchService::GetConfiguration"
"GET https://contextualsearch.xboxlive.com/titles/{titleId}/broadcasts","contextual_search_service::get_broadcasts","ContextualSearchService::GetBroadcasts"
"GET https://contextualsearch.xboxlive.com//titles/{titleId}/gameclips","contextual_search_service::get_game_clips","ContextualSearchService::GetGameClipsAsync"
"eplists.xboxlive.com","entertainment_profile_list_xbox_one_pins","entertainment_profile_list_xbox_one_pins","EntertainmentProfileListXboxOnePins"
"POST https://eplists.xboxlive.com/users/xuid({xuid})/lists/PINS/XBLPins","entertainment_profile_list_xbox_one_pins::add_item","EntertainmentProfileListXboxOnePins::AddItem"
"POST https://eplists.xboxlive.com/users/xuid({xuid})/lists/PINS/XBLPins/RemoveItems","entertainment_profile_list_xbox_one_pins::remove_item","EntertainmentProfileListXboxOnePins::RemoveItem"
"POST https://eplists.xboxlive.com/users/xuid({xuid})/lists/PINS/XBLPins/ContainsItems","entertainment_profile_list_xbox_one_pins::contains_item","EntertainmentProfileListXboxOnePins::ContainsItem"
"gameserverms.xboxlive.com","game_server_platform_service","game_server_platform_service","game_server_platform_service","GameServerPlatformService"
"gameserverds.xboxlive.com","game_server_platform_service","game_server_platform_service","game_server_platform_service","GameServerPlatformService"
"POST https://gameserverms.xboxlive.com/titles/{gameServerTitleId}/clusters","game_server_platform_service::allocate_cluster","GameServerPlatformService::AllocateCluster"
"POST https://gameserverms.xboxlive.com/titles/{gameServerTitleId}/inlineclusters","game_server_platform_service::allocate_cluster_inline","GameServerPlatformService::AllocateClusterInline"
"GET https://gameserverms.xboxlive.com/titles/{titleId}/tickets/{ticketId}/status","game_server_platform_service::get_ticket_status","GameServerPlatformService::GetTicketStatus"
"POST https://gameserverds.xboxlive.com/titles/{titleId}/variants","game_server_platform_service::get_game_server_metadata","GameServerPlatformService::GetGameServerMetadata"
"GET https://gameserverds.xboxlive.com/qosservers/","game_server_platform_service::get_quality_of_service_servers/","GameServerPlatformService::GetQualityOfServiceServers"
"POST https://gameserverds.xboxlive.com/titles/{gameServerTitleId}/allocationStatus","game_server_platform_service::allocate_session_host","GameServerPlatformService::AllocateSessionHost"
"POST https://gameserverds.xboxlive.com/titles/{gameServerTitleId}/sessionhosts","game_server_platform_service::get_session_host_allocation_status","GameServerPlatformService::GetSessionHostAllocationStatus"
"leaderboards.xboxlive.com","leaderboard_service","LeaderboardService"
"GET https://leaderboards.xboxlive.com/scids/{scid}/leaderboards/{leaderboardname}","leaderboard_service::get_leaderboard}","LeaderboardService::GetLeaderboard"
"GET https://leaderboards.xboxlive.com/scids/{scid}/leaderboards/{leaderboardname}?skipToUser={xuid}[&maxItems={maxItems}]","leaderboard_service::get_leaderboard_skip_to_xuid","LeaderboardService::GetLeaderboardSkipToXuid"
"GET https://leaderboards.xboxlive.com/users/xuid({xuid})/scids/{scid}/stats/{statname}/people/{all|favorites}","leaderboard_service::get_leaderboard_for_social_group","LeaderboardService::GetLeaderboardForSocialGroup"
"GET https://leaderboards.xboxlive.com/users/xuid({xuid})/scids/{scid}/stats/{statname}/people/{all|favorites}[?sort=descending|ascending&]skipToRank={skipToUser}","leaderboard_service::get_leaderboard_for_social_group_skip_to_rank","LeaderboardService::GetLeaderboardForSocialGroupSkipToRank"
"GET https://leaderboards.xboxlive.com/users/xuid({xuid})/scids/{scid}/stats/{statname}/people/{all|favorites}[?sort=descending|ascending&]skipToUser={skipToUser}","leaderboard_service::get_leaderboard_for_social_group_skip_to_xuid","LeaderboardService::GetLeaderboardForSocialGroupSkipToXuid"
"eds.xboxlive.com","catalog_service","CatalogService"
